,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
470,WFC,WCOEQ,WEN,WB,WCOEQ,WAMUQ,WAT,WAT,WAT,VSTNQ,VNO,WB,WAT,VZ,VTR,VZ,WBA,WBA,WDC,VZ,VNO,VMC,VMC,VLO,VNO,VRSK,VMC,VRSK
471,WHR,WEN,WFC,WBA,WEN,WB,WB,WB,WB,VZ,VZ,WBA,WB,WAT,VZ,WAT,WDC,WDC,WEC,WAT,VRSK,VNO,VNO,VMC,VRSK,VRSN,VNO,VRSN
472,WLA,WFC,WHR,WCOEQ,WFC,WBA,WBA,WBA,WBA,WAMUQ,WAMUQ,WEN,WBA,WBA,WAT,WBA,WEC,WEC,WELL,WBA,VRSN,VRSK,VRSK,VNO,VRSN,VRTX,VRSK,VRTX
473,WLL,WHR,WLA,WEN,WHR,WCOEQ,WCOEQ,WEN,WEN,WAT,WAT,WFC,WEN,WEC,WBA,WDC,WELL,WELL,WFC,WDC,VRTX,VRSN,VRSN,VRSK,VRTX,VTR,VRSN,VTR
474,WMB,WLA,WLL,WFC,WLA,WEN,WEN,WFC,WFC,WB,WB,WFM,WFC,WFC,WDC,WEC,WFC,WFC,WFM,WEC,VTR,VRTX,VRTX,VRSN,VTR,VTRS,VRTX,VTRS
475,WMT,WLL,WMB,WHR,WLL,WFC,WFC,WHR,WHR,WBA,WBA,WFT,WFM,WFM,WEC,WELL,WFM,WFM,WHR,WELL,VZ,VTR,VTR,VRTX,VZ,VZ,VTR,VZ
476,WMX,WMB,WMT,WLA,WLP,WHR,WHR,WLP,WLP,WEN,WEN,WHR,WFT,WFT,WELL,WFC,WHR,WHR,WIN,WFC,WAT,VZ,VZ,VTR,WAB,WAB,VTRS,WAB
477,WNDXQ,WMT,WMX,WLL,WM,WLL,WLL,WM,WM,WFC,WFC,WIN,WHR,WHR,WFC,WFM,WIN,WIN,WM,WFM,WBA,WAT,WAT,VZ,WAT,WAT,VZ,WAT
478,WOR,WMX,WNDXQ,WM,WMB,WLP,WLP,WMB,WMB,WHR,WFM,WM,WIN,WIN,WFM,WHR,WM,WM,WMB,WHR,WDC,WBA,WBA,WAT,WBA,WBA,WAB,WBA
479,WWY,WNDXQ,WOR,WMB,WMT,WM,WM,WMT,WMT,WM,WFT,WMB,WM,WM,WHR,WIN,WMB,WMB,WMT,WIN,WEC,WDC,WDC,WBA,WDC,WDC,WAT,WBD
480,WY,WOR,WWY,WMT,WNDXQ,WMB,WMB,WNDXQ,WNDXQ,WMB,WHR,WMT,WMB,WMB,WIN,WM,WMT,WMT,WPX,WM,WELL,WEC,WEC,WCG,WEC,WEC,WBA,WDC
481,WYE,WWY,WY,WNDXQ,WOR,WMT,WMT,WOR,WOR,WMT,WM,WU,WMT,WMT,WM,WMB,WPX,WPX,WU,WMB,WFC,WELL,WELL,WDC,WELL,WELL,WDC,WEC
482,X,WY,WYE,WOR,WWY,WNDXQ,WNDXQ,WWY,WWY,WWY,WMB,WWY,WU,WU,WMB,WMT,WU,WU,WY,WMT,WFM,WFC,WFC,WEC,WFC,WFC,WEC,WELL
483,XEL,WYE,X,WWY,WY,WOR,WOR,WY,WY,WY,WMT,WY,WWY,WY,WMT,WU,WY,WY,WYND,WU,WHR,WFM,WHR,WELL,WHR,WHR,WELL,WFC
484,XOM,X,XEL,WY,WYE,WWY,WWY,WYE,WYE,WYE,WWY,WYE,WY,WYE,WU,WY,WYND,WYND,WYNN,WY,WM,WHR,WLTW,WFC,WLTW,WLTW,WFC,WHR
485,XRX,XEL,XOM,WYE,X,WY,WY,X,X,X,WY,WYND,WYE,WYND,WY,WYND,WYNN,WYNN,X,WYND,WMB,WLTW,WM,WHR,WM,WM,WHR,WM
486,YRCW,XOM,XRX,X,XEL,WYE,WYE,XEL,XEL,XEL,WYE,X,WYND,WYNN,WYND,WYNN,X,X,XEL,WYNN,WMT,WM,WMB,WLTW,WMB,WMB,WM,WMB
487,,XRX,YUM,XEL,XLNX,X,X,XL,XL,XL,X,XEL,X,X,WYNN,X,XEL,XEL,XL,XEC,WRK,WMB,WMT,WM,WMT,WMT,WMB,WMT
488,,,,XOM,XOM,XEL,XEL,XLNX,XLNX,XLNX,XEL,XL,XEL,XEL,X,XEL,XL,XL,XLNX,XEL,WU,WMT,WRK,WMB,WRB,WRB,WMT,WRB
489,,,,XRX,XRX,XLNX,XL,XOM,XOM,XOM,XL,XLNX,XL,XL,XEL,XL,XLNX,XLNX,XOM,XL,WY,WRK,WU,WMT,WRK,WRK,WRB,WRK
490,,,,YUM,YUM,XOM,XLNX,XRX,XRX,XRX,XLNX,XOM,XLNX,XLNX,XL,XLNX,XOM,XOM,XRAY,XLNX,WYND,WU,WY,WRK,WU,WST,WRK,WST
491,,,,,,XRX,XOM,YUM,YUM,XTO,XOM,XRX,XOM,XOM,XLNX,XOM,XRAY,XRAY,XRX,XOM,WYNN,WY,WYND,WU,WY,WU,WST,WTW
492,,,,,,YUM,XRX,ZBH,ZBH,YUM,XRX,XTO,XRX,XRAY,XOM,XRAY,XRX,XRX,XYL,XRAY,XEC,WYND,WYNN,WY,WYNN,WY,WTW,WY
493,,,,,,,YUM,ZION,ZION,ZBH,XTO,YUM,XTO,XRX,XRAY,XRX,XYL,XYL,YUM,XRX,XEL,WYNN,XEC,WYNN,XEC,WYNN,WY,WYNN
494,,,,,,,ZBH,,,ZION,YUM,ZBH,YUM,XTO,XRX,YUM,YUM,YUM,ZBH,XYL,XL,XEC,XEL,XEC,XEL,XEL,WYNN,XEL
495,,,,,,,ZION,,,,ZBH,ZION,ZBH,YUM,XTO,ZBH,ZBH,ZBH,ZION,YUM,XLNX,XEL,XL,XEL,XLNX,XLNX,XEL,XOM
496,,,,,,,,,,,ZION,,ZION,ZBH,YUM,ZION,ZION,ZION,ZTS,ZBH,XOM,XL,XLNX,XLNX,XOM,XOM,XLNX,XRAY
497,,,,,,,,,,,,,,ZION,ZBH,,,,,ZION,XRAY,XLNX,XOM,XOM,XRAY,XRAY,XOM,XYL
498,,,,,,,,,,,,,,,ZION,,,,,ZTS,XRX,XOM,XRAY,XRAY,XRX,XRX,XRAY,YUM
499,,,,,,,,,,,,,,,,,,,,,XYL,XRAY,XRX,XRX,XYL,XYL,XYL,ZBH
500,,,,,,,,,,,,,,,,,,,,,YUM,XRX,XYL,XYL,YUM,YUM,YUM,ZBRA
501,,,,,,,,,,,,,,,,,,,,,ZBH,XYL,YUM,YUM,ZBH,ZBH,ZBH,ZION
502,,,,,,,,,,,,,,,,,,,,,ZION,YUM,ZBH,ZBH,ZBRA,ZBRA,ZBRA,ZTS
503,,,,,,,,,,,,,,,,,,,,,ZTS,ZBH,ZION,ZION,ZION,ZION,ZION,
504,,,,,,,,,,,,,,,,,,,,,,ZION,ZTS,ZTS,ZTS,ZTS,ZTS,
505,,,,,,,,,,,,,,,,,,,,,,ZTS,,,,,,
