,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
379,RNB,RML,RML,RLM,RML,RDS.A,R,R,R,PX,Q,RHI,RDC,R,RAI,R,RAI,PXD,PXD,PXD,PX,PWR,PRU,PNW,PNW,PSA,PRU,PPL
380,ROH,RNB,RNB,RML,ROH,RF,RBK,RAI,RAI,Q,QCOM,RIG,RF,RAI,RDC,RAI,RDC,QCOM,QCOM,QCOM,PXD,PX,PSA,PPG,PPG,PSX,PSA,PRU
381,ROK,ROH,ROH,RNB,ROK,RHI,RDC,RATL,RBK,QCOM,QLGC,ROH,RHI,RDC,RF,RDC,RF,QEP,QEP,QEP,PYPL,PXD,PSX,PPL,PPL,PVH,PSX,PSA
382,RRD,ROK,ROK,ROH,RRD,RIG,RDS.A,RBK,RDC,QLGC,R,ROK,RIG,RF,RHI,RF,RHI,R,R,R,QCOM,PYPL,PVH,PRGO,PRGO,PWR,PTC,PSX
383,RSHCQ,RRD,RRD,ROK,RSHCQ,ROH,RF,RDC,RF,R,RAI,RRD,RL,RHI,RHT,RHI,RHT,RAI,RAI,RAI,QRVO,QCOM,PWR,PRU,PRU,PXD,PVH,PTC
384,RTN,RSHCQ,RSHCQ,RRD,RTN,ROK,RHI,RF,RHI,RAI,RBK,RSHCQ,ROH,RL,RL,RHT,RL,RDC,RDC,RCL,R,QRVO,PX,PSA,PSA,PYPL,PWR,PWR
385,RYAN,RTN,RTN,RSHCQ,RX,RRD,RIG,RHI,RIG,RBK,RDC,RTN,ROK,ROH,ROK,RL,ROK,RF,REGN,REGN,RAI,R,PXD,PSX,PSX,QCOM,PXD,PXD
386,RYC,RX,RX,RTN,S,RSHCQ,ROH,RIG,ROH,RDC,RF,RX,RRC,ROK,ROP,ROK,ROP,RHI,RF,RF,RCL,RAI,PYPL,PVH,PVH,QRVO,PYPL,PYPL
387,RYI,RYC,RYC,RX,SAF,RTN,ROK,ROH,ROK,RF,RHI,S,RRD,RRC,ROST,ROP,ROST,RHT,RHI,RHI,REGN,RCL,QCOM,PWR,PWR,RCL,QCOM,QCOM
388,S,RYI,RYI,RYC,SCHW,RX,RRD,ROK,RRD,RHI,RIG,SAF,RSHCQ,RRD,RRC,ROST,RRC,RL,RHT,RHT,RF,REGN,QRVO,PXD,PXD,RE,QRVO,QRVO
389,SAF,S,S,S,SCI,S,RSHCQ,RRD,RSHCQ,RIG,ROH,SANM,RTN,RSG,RRD,RRC,RRD,ROK,RIG,RIG,RHI,RF,RCL,PYPL,PYPL,REG,RCL,RCL
390,SB,SAF,SAF,SAF,SEE,SAF,RTN,RSHCQ,RTN,ROH,ROK,SBL,RX,RSHCQ,RSG,RRD,RSG,ROP,RL,RL,RHT,RHI,RE,QCOM,QCOM,REGN,RE,RE
391,SCI,SB,SAI,SCHW,SEG,SANM,RX,RTN,RX,ROK,RRD,SBUX,S,RTN,RSHCQ,RSG,RTN,ROST,ROK,ROK,RIG,RHT,REG,QRVO,QRVO,RF,REG,REG
392,SFA,SCI,SCHW,SCI,SFA,SAPE,S,RX,S,RRD,RSHCQ,SCHW,SAF,RX,RTN,RSHCQ,S,RRC,ROP,ROP,RL,RIG,REGN,RCL,RCL,RHI,REGN,REGN
393,SFS,SEG,SCI,SEE,SGID,SBL,SAF,S,SAF,RSHCQ,RTN,SE,SBUX,S,RX,RTN,SBUX,RSG,ROST,ROST,ROK,RL,RF,RE,RE,RJF,RF,RF
394,SGID,SFA,SEG,SEG,SGP,SBUX,SANM,SAF,SANM,RTN,RX,SEE,SCHW,SBUX,S,S,SCG,RTN,RRC,RRC,ROP,ROK,RHI,REG,REG,RL,RHI,RHI
395,SGP,SFS,SFA,SFA,SHW,SCHW,SAPE,SANM,SBL,RX,S,SGP,SE,SCG,SBUX,SBUX,SCHW,S,RSG,RSG,ROST,ROP,RHT,REGN,REGN,RMD,RJF,RJF
396,SHN,SGID,SGID,SGID,SIAL,SEBL,SBL,SBL,SBUX,S,SAF,SHLD,SEE,SCHW,SCG,SCG,SE,SBUX,RTN,RTN,RRC,ROST,RJF,RF,RF,ROK,RL,RL
397,SHW,SGP,SGP,SGP,SLB,SEE,SBUX,SBUX,SCHW,SAF,SANM,SHW,SGP,SE,SCHW,SCHW,SEE,SCG,SBUX,SBUX,RSG,RRC,RL,RHI,RHI,ROL,RMD,RMD
398,SIAL,SHW,SHW,SHW,SLM,SFA,SCHW,SCHW,SDS,SANM,SBL,SIAL,SHLD,SEE,SE,SE,SHLD,SCHW,SCG,SCG,RTN,RSG,RMD,RHT,RJF,ROP,ROK,ROK
